loss_train, rec_loss, kl_loss
0.36564305,0.36564307742648655,0.0
0.36151162,0.3615116344557868,0.0
0.34711164,0.3471116026242574,0.0
0.34095177,0.3409517506758372,0.0
0.3311299,0.3311299416753981,0.0
0.31962886,0.31962888108359444,0.0
0.306674,0.30667398704422844,0.0
0.29536402,0.29536401894357467,0.0
0.28514344,0.2851434151331584,0.0
0.27595055,0.2759505609671275,0.0
0.2665614,0.2665614154603746,0.0
0.25536257,0.25536254710621303,0.0
0.24554971,0.24554970363775888,0.0
0.23606181,0.2360617932346132,0.0
0.22706419,0.22706420719623566,0.0
0.21990973,0.21990974578592512,0.0
0.21622449,0.21622449987464482,0.0
0.21680574,0.21680574119091034,0.0
0.20896684,0.20896684461169773,0.0
0.20357256,0.20357255472077262,0.0
0.19834939,0.19834937817520565,0.0
0.19524406,0.19524405896663666,0.0
0.18909198,0.18909198376867506,0.0
0.18558429,0.18558428353733486,0.0
0.18395472,0.18395471241739061,0.0
0.18015493,0.18015493783685896,0.0
0.17933208,0.17933207088046604,0.0
0.177189,0.17718900905715096,0.0
0.17365393,0.17365391883585188,0.0
0.17309591,0.17309591008557212,0.0
0.17650919,0.17650917172431946,0.0
0.17620884,0.17620884047614205,0.0
0.16828546,0.168285447690222,0.0
0.16721696,0.16721695330407885,0.0
0.16670258,0.16670259005493587,0.0
0.17026192,0.17026191784275901,0.0
0.1763584,0.1763584083980984,0.0
0.17364389,0.17364387545320722,0.0
0.16647178,0.16647178100215065,0.0
0.1621378,0.162137809726927,0.0
0.16080016,0.1608001473877165,0.0
0.15755709,0.15755708681212532,0.0
0.1558884,0.15588840511110094,0.0
0.15455796,0.154557959900962,0.0
0.15280028,0.15280028184254965,0.0
0.15204151,0.15204151140318978,0.0
0.1513858,0.15138580401738486,0.0
0.1480827,0.14808269672923619,0.0
0.14668378,0.14668378233909607,0.0
0.14524327,0.14524327880806392,0.0
0.1433828,0.14338279598289067,0.0
0.1416056,0.14160560733742183,0.0
0.14293571,0.14293571396006477,0.0
0.13979493,0.13979491591453552,0.0
0.1382666,0.13826659239000744,0.0
0.13847025,0.1384702498714129,0.0
